svyid,filecode,record,number
405,MLGE6AFL,,413
405,MLIR6H,RECH0,10743
405,MLIR6H,RECH2,10105
406,ZMGE61FL,,721
406,ZMIR61,RECH0,18052
406,ZMIR61,RECH2,15920
407,NIIR61,RECH0,11900
407,NIIR61,RECH2,10750
41,TZIR21,RECH0,9281
41,TZIR21,RECH2,8327
419,PKIR61,RECH0,13944
419,PKIR61,RECH2,12943
42,BFGE23FL,,230
42,BFIR21,RECH0,5706
42,BFIR21,RECH2,5143
420,BJGE61FL,,750
420,BJIR61,RECH0,17999
420,BJIR61,RECH2,17422
421,CDGE61FL,,536
421,CDIR61,RECH0,18224
421,CDIR61,RECH2,18171
423,SNGE6AFL,,200
423,SNIR6C,RECH0,4399
423,SNIR6C,RECH2,4175
425,GMIR60,RECH0,7009
425,GMIR60,RECH2,6217
426,PEIR61,RECH0,27756
426,PEIR61,RECH2,26605
43,RWIR21,RECH0,6509
43,RWIR21,RECH2,6252
432,MWGE6AFL,,140
432,MWIR6H,RECH0,3500
432,MWIR6H,RECH2,3404
433,PEIR6A,RECH0,27709
433,PEIR6A,RECH2,26528
434,PEIR6I,RECH0,28376
434,PEIR6I,RECH2,27218
435,LBGE6AFL,,322
435,LBIR6A,RECH0,9677
435,LBIR6A,RECH2,9333
436,PHIR61,RECH0,16732
436,PHIR61,RECH2,14804
438,NGGE6AFL,,896
438,NGIR6A,RECH0,40320
438,NGIR6A,RECH2,38522
439,DRGE61FL,,524
439,DRIR61,RECH0,13135
439,DRIR61,RECH2,11464
44,PEIR21,RECH0,14469
44,PEIR21,RECH2,13479
443,KMGE61FL,,252
443,KMIR61,RECH0,5041
443,KMIR61,RECH2,4482
446,BUGE6AFL,,200
446,BUIR6H,RECH0,5002
446,BUIR6H,RECH2,4866
447,PEGE52FL,,1414
447,PEIR51,RECH0,49046
447,PEIR51,RECH2,46073
449,RWIR6Q,RECH0,4772
449,RWIR6Q,RECH2,4766
45,EGGE22FL,,546
45,EGIR21,RECH0,11304
45,EGIR21,RECH2,10760
450,SLGE61FL,,435
450,SLIR61,RECH0,13006
450,SLIR61,RECH2,12629
456,MDGE6AFL,,274
456,MDIR6H,RECH0,8768
456,MDIR6H,RECH2,8574
457,SNIR70,RECH0,4400
457,SNIR70,RECH2,4231
46,SNGE23FL,,258
46,SNIR21,RECH0,3735
46,SNIR21,RECH2,3528
47,MAIR21,RECH0,7012
47,MAIR21,RECH2,6577
48,NMIR21,RECH0,5006
48,NMIR21,RECH2,4101
49,MDIR21,RECH0,6500
49,MDIR21,RECH2,5944
490,DRGE6AFL,,114
490,DRIR6A,RECH0,2834
490,DRIR6A,RECH2,2569
50,IAIR23,RECH0,94598
50,IAIR23,RECH2,88562
51,ZMIR21,RECH0,6709
51,ZMIR21,RECH2,6209
52,MWIR22,RECH0,5811
52,MWIR22,RECH2,5323
53,NIGE23FL,,235
53,NIIR22,RECH0,5819
53,NIIR22,RECH2,5242
56,KEIR33,RECH0,8805
56,KEIR33,RECH2,7950
58,GHGE33FL,,400
58,GHIR31,RECH0,6161
58,GHIR31,RECH2,5822
59,BDIR31,RECH0,9681
59,BDIR31,RECH2,9174
60,TRIR31,RECH0,10631
